date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_cbu0.uk,w_cmod.uk,w_cndx.uk,w_cspx.uk,w_dbc.us,w_dtla.uk,w_eimi.uk,w_iau.us,w_ibta.uk,w_igln.uk,w_ihya.uk,w_iues.uk,w_ivv.us,w_lqda.uk,w_vt.us,w_xlk.us,w_xres.uk
2008-07-01,-0.052335433954426976,-0.05433543395442698,0.5,3,True,0.002,0.998,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0,-0.002,0.5,3,True,0.002,0.9438776984396551,-0.0623355384353621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0,False,0.0,0.9438776984396551,-0.0623355384353621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0,False,0.0,0.9438776984396551,-0.0623355384353621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0,False,0.0,0.9438776984396551,-0.0623355384353621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0,False,0.0,0.9438776984396551,-0.0623355384353621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0,False,0.0,0.9438776984396551,-0.0623355384353621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0,False,0.0,0.9438776984396551,-0.0623355384353621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0,False,0.0,0.9438776984396551,-0.0623355384353621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0,False,0.0,0.9438776984396551,-0.0623355384353621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.06273018208861936,0.060730182088619356,0.5,2,True,0.002,0.9419899430427757,-0.06421086735849135,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2009-06-01,-0.014222998622163419,-0.014222998622163419,0.0,0,False,0.0,1.001081143695497,-0.005508644671338714,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2009-07-01,0.05264804946257562,0.05264804946257562,0.0,0,False,0.0,0.9868427679680422,-0.019653293847931574,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2009-08-01,-0.00841199806229459,-0.00841199806229459,0.0,0,False,0.0,1.0273127789165997,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2009-09-01,0.024004913841318865,0.024004913841318865,0.0,0,False,0.0,1.018671025810983,-0.01596499719029043,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2009-10-01,0.030102040816326503,0.0281020408163265,0.5,2,True,0.002,1.041037887746187,-0.02438680161261364,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,0.058967677500110074,0.05856767750011008,0.09999999999999999,2,True,0.00039999999999999996,1.0660015513809171,-0.007909045971329465,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2009-12-01,-0.02057304766883137,-0.02057304766883137,0.0,0,False,0.0,1.128409642602533,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2010-01-01,-0.014346616734276774,-0.014346616734276774,0.0,0,False,0.0,1.0760260406959405,-0.052108836583913964,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2010-02-01,0.007696672216371981,0.007696672216371981,0.0,0,False,0.0,1.0605887074939744,-0.06570786781125237,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2010-03-01,0.02518191857865049,0.02358191857865049,0.4,3,True,0.0016,1.06704170839413,-0.06002330043143567,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0
