date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_qqq.us,w_spy.us,w_tlt.us,w_vnq.us,w_vt.us,w_vwo.us,w_xle.us,w_xlk.us
2007-05-01,-0.012209411571276795,-0.014409411571276794,0.5499999999999999,2,True,0.0021999999999999997,0.9978,0.0,0.45000000000000007,0.0,0.0,0.0,0.0,0.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,-0.0015383241102447042,-0.0015383241102447042,0.0,0,False,0.0,0.9856174491341805,-0.012788083625768443,0.45000000000000007,0.0,0.0,0.0,0.0,0.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,0.007877145941323637,0.007877145941323637,0.0,0,False,0.0,0.9854221255804951,-0.012983723161083205,0.45000000000000007,0.0,0.0,0.0,0.0,0.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.01073498067480838,0.01073498067480838,0.0,0,False,0.0,0.993184439477502,-0.005208851901961187,0.45000000000000007,0.0,0.0,0.0,0.0,0.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.00013532164185414694,0.00013532164185414694,0.0,0,False,0.0,1.0070520970313264,0.0,0.45000000000000007,0.0,0.0,0.0,0.0,0.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,0.016774198706921865,0.014574198706921865,0.55,7,True,0.0022,1.004972558553985,-0.011362571040904657,0.45000000000000007,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0
2007-11-01,-0.011111121117961626,-0.011111121117961626,0.0,0,False,0.0,1.0218301679461734,-0.011918826011865669,0.45000000000000007,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0
2007-12-01,0.018864534509495975,0.018497867842829308,0.09166666666666667,2,True,0.00036666666666666667,1.0094561914109774,-0.02645460172330949,0.45000000000000007,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0
2008-01-01,-0.019993362781442363,-0.019993362781442363,0.0,0,False,0.0,1.0184787998719853,-0.01775296709824592,0.45000000000000007,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0
2008-02-01,0.019360090705554153,0.018260090705554153,0.27499999999999997,5,True,0.0010999999999999998,0.9970180561588218,-0.03845025784084111,0.45000000000000007,0.09166666666666667,0.09166666666666667,0.0,0.0,0.18333333333333335,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0
2008-03-01,-0.014795324825789326,-0.015161991492455992,0.09166666666666667,2,True,0.00036666666666666667,1.0157078665620847,-0.02042532613248471,0.45000000000000007,0.09166666666666667,0.09166666666666667,0.0,0.0,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.09166666666666667,0.0
2008-04-01,-0.0055170765643616105,-0.006250409897694944,0.18333333333333335,3,True,0.0007333333333333333,0.9995796596673368,-0.03597978182698025,0.45000000000000007,0.09166666666666667,0.09166666666666667,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.015831395220907474,0.014731395220907474,0.27499999999999997,6,True,0.0010999999999999998,0.9929714307604054,-0.04235292698953519,0.45000000000000007,0.09166666666666667,0.0,0.0,0.0,0.18333333333333335,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0
2008-06-01,-0.014524574203236922,-0.014891240869903588,0.09166666666666667,2,True,0.00036666666666666667,1.0079979559305323,-0.027860961358992964,0.45000000000000007,0.09166666666666667,0.0,0.0,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.0,0.09166666666666667,0.09166666666666667,0.0
2008-07-01,-0.07445467804290504,-0.07735467804290504,0.725,8,True,0.0029,0.990113304190992,-0.045109377435844755,6.106226635438361e-17,0.4516666666666667,0.09166666666666667,0.0,0.09000000000000001,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09166666666666667,0.0
2008-08-01,0.00048439119132685294,-0.0020489421420064806,0.6333333333333333,6,True,0.0025333333333333336,0.9140732035679716,-0.11844439749507485,0.45000000000000007,0.09166666666666667,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,-0.00011875504340294138,-0.000485421710069608,0.09166666666666667,2,True,0.00036666666666666667,0.9156807447637135,-0.11689404360456346,0.45000000000000007,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0
2008-10-01,-0.011056223690816372,-0.011056223690816372,0.0,0,False,0.0,0.9152362933226718,-0.11732268395455114,0.45000000000000007,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.05630535340674323,0.05630535340674323,0.0,0,False,0.0,0.9061096920760767,-0.1261246118847862,0.45000000000000007,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.014473048118800291,0.014473048118800291,0.0,0,False,0.0,0.9571285185136955,-0.07692074932350412,0.45000000000000007,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0
2009-01-01,-0.012900239394483225,-0.013633572727816557,0.18333333333333332,3,True,0.0007333333333333332,0.979825098720381,-0.055031586222774265,0.45000000000000007,0.0,0.09166666666666667,0.0,0.0,0.275,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0
2009-02-01,-0.006674310024049149,-0.006674310024049149,0.0,0,False,0.0,0.967282149465834,-0.0671283276479906,0.45000000000000007,0.0,0.09166666666666667,0.0,0.0,0.275,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.008126545246123175,0.007759878579456508,0.09166666666666666,2,True,0.0003666666666666666,0.9598378754903725,-0.0743077760816977,0.45000000000000007,0.0,0.09166666666666667,0.0,0.0,0.3666666666666667,0.0,0.09166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.006089988208681527,0.004989988208681528,0.27499999999999997,5,True,0.0010999999999999998,0.9662192292344236,-0.06815343513539762,0.45000000000000007,0.0,0.09166666666666667,0.0,0.0,0.18333333333333335,0.0,0.0,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.0,0.0
2009-05-01,0.07926596704166895,0.07673263370833562,0.6333333333333333,6,True,0.0025333333333333336,0.9696408307653289,-0.06485355500836276,6.106226635438361e-17,0.0,0.0,0.09166666666666667,0.0,0.18333333333333335,0.0,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.45,0.09166666666666667,0.0,0.0
2009-06-01,-0.02236162513705931,-0.023094958470392644,0.18333333333333335,3,True,0.0007333333333333333,1.0457329153098371,0.0,6.106226635438361e-17,0.09166666666666667,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.45,0.09166666666666667,0.0,0.0
2009-07-01,0.08432286021302449,0.08358952687969115,0.18333333333333335,4,True,0.0007333333333333333,1.021598905537094,-0.023078559945292065,6.106226635438361e-17,0.0,0.0,0.09166666666666667,0.0,0.09166666666666667,0.0,0.09166666666666667,0.09166666666666667,0.09166666666666667,0.0,0.0,0.45,0.09166666666666667,0.0,0.0
2009-08-01,-0.0170087726301007,-0.017375439296767367,0.09166666666666667,2,True,0.00036666666666666667,1.0933181718273093,0.0,6.106226635438361e-17,0.0,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.09166666666666667,0.0,0.0,0.45,0.09166666666666667,0.0,0.0
2009-09-01,0.04595639211241085,0.04558972544574418,0.09166666666666667,2,True,0.00036666666666666667,1.073934186528238,-0.025038160075110838,6.106226635438361e-17,0.0,0.0,0.09166666666666667,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.45,0.09166666666666667,0.0,0.0
2009-10-01,0.03798002467714341,0.03581335801047675,0.5416666666666667,4,True,0.002166666666666667,1.1208545357318533,-0.04568259264861474,6.106226635438361e-17,0.0,0.09166666666666667,0.09166666666666667,0.45,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0
2009-11-01,0.0903278327612076,0.08923449942787426,0.2733333333333333,6,True,0.0010933333333333333,1.1527184780523763,-0.03259530841919256,6.106226635438361e-17,0.0,0.09166666666666667,0.0,0.36000000000000004,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0,0.0,0.09166666666666667,0.0,0.09166666666666667,0.09166666666666667,0.09000000000000001
2009-12-01,-0.008425280530587491,-0.009158613863920825,0.18333333333333335,4,True,0.0007333333333333333,1.2545462180328701,0.0,6.106226635438361e-17,0.0,0.09166666666666667,0.09166666666666667,0.36000000000000004,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.09166666666666667,0.0,0.09000000000000001
2010-01-01,-0.037435669012230874,-0.03780233567889754,0.09166666666666667,2,True,0.00036666666666666667,1.1834835793393919,-0.06496488055638938,6.106226635438361e-17,0.0,0.09166666666666667,0.0,0.36000000000000004,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.09166666666666667,0.09166666666666667,0.09000000000000001
2010-02-01,0.019895112499522288,0.019161779166188955,0.18333333333333335,3,True,0.0007333333333333333,1.1379262891066693,-0.10095833839385138,6.106226635438361e-17,0.0,0.09166666666666667,0.0,0.36000000000000004,0.18333333333333335,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.0,0.09000000000000001
2010-03-01,0.043913427394203716,0.041740094060870384,0.5433333333333334,7,True,0.0021733333333333335,1.1580431650434762,-0.08506459400839561,6.106226635438361e-17,0.0,0.0,0.09166666666666667,0.0,0.09166666666666667,0.09000000000000001,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.0,0.09166666666666667,0.36000000000000004
2010-04-01,0.0378879934261728,0.036081326759506135,0.4516666666666667,5,True,0.0018066666666666667,1.2067127359218195,-0.04661221594929066,6.106226635438361e-17,0.0,0.0,0.09166666666666667,0.36000000000000004,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.09166666666666667,0.09166666666666667,0.09000000000000001
2010-05-01,-0.04613077090223537,-0.04649743756890204,0.09166666666666667,2,True,0.00036666666666666667,1.2412806161076761,-0.01930116360960643,6.106226635438361e-17,0.0,0.09166666666666667,0.0,0.36000000000000004,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0,0.09166666666666667,0.0,0.09166666666666667,0.09166666666666667,0.09000000000000001
2010-06-01,-0.00766878866465407,-0.009135455331320737,0.3666666666666667,6,True,0.0014666666666666667,1.181849318915243,-0.06625606103203985,6.106226635438361e-17,0.0,0.09166666666666667,0.0,0.36000000000000004,0.275,0.0,0.0,0.0,0.0,0.09166666666666667,0.09166666666666667,0.0,0.0,0.0,0.09000000000000001
