<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
URT,D,20211027,000000,101,101,84.35,98.8,3800,0
URT,D,20211028,000000,99.03,99.97,98,98,609,0
URT,D,20211029,000000,98,98,94,97,133,0
URT,D,20211102,000000,94.1,94.1,93.5,94,762,0
URT,D,20211103,000000,92,110,91,99.6,3598,0
URT,D,20211104,000000,99.6,100.98,94,99.2,263,0
URT,D,20211105,000000,94.1,99,94,98,303,0
URT,D,20211108,000000,94.1,96,94,96,142,0
URT,D,20211109,000000,96,98,96,97,533,0
URT,D,20211110,000000,97,97,97,97,8,0
URT,D,20211112,000000,99,100,99,100,22,0
URT,D,20211115,000000,100.46,100.46,100.46,100.46,2,0
URT,D,20211116,000000,97,99.5,96,98,388,0
URT,D,20211117,000000,97.5,97.5,97.5,97.5,1,0
URT,D,20211118,000000,94.02,96,94.02,96,117,0
URT,D,20211119,000000,94.02,96,94.02,96,521,0
URT,D,20211122,000000,96,96,96,96,252,0
URT,D,20211123,000000,92.02,96,92.02,96,336,0
URT,D,20211125,000000,95.98,95.98,95.98,95.98,1,0
URT,D,20211130,000000,95.89,95.89,94,94,15,0
URT,D,20211201,000000,95.88,95.88,90,90,44,0
URT,D,20211202,000000,89.7,95.88,89.7,90,112,0
URT,D,20211203,000000,88.9,88.9,88.9,88.9,10,0
URT,D,20211206,000000,87.2,87.2,85,85,80,0
URT,D,20211207,000000,85,95.9,85,93.5,637,0
URT,D,20211208,000000,94,95.9,94,95.78,150,0
URT,D,20211209,000000,95.8,95.9,92,95.88,128,0
URT,D,20211210,000000,95.88,95.9,95.88,95.9,311,0
URT,D,20211213,000000,95.9,95.9,95.9,95.9,6,0
URT,D,20211214,000000,95.9,95.9,93,95.89,38,0
URT,D,20211215,000000,93,94,90.21,94,31,0
URT,D,20211216,000000,94,94,93.89,93.89,10,0
URT,D,20211217,000000,90.5,94,85.01,94,354,0
URT,D,20211220,000000,93.98,94,93.98,94,40,0
URT,D,20211221,000000,93,95.9,93,94.01,471,0
URT,D,20211222,000000,95,95,95,95,1,0
URT,D,20211223,000000,95,95,93,93,10,0
URT,D,20211227,000000,95.9,95.9,95.9,95.9,1,0
URT,D,20211228,000000,95.4,95.8,95.4,95.8,15,0
URT,D,20211229,000000,95.8,95.9,95.8,95.9,40,0
URT,D,20211230,000000,95.9,95.9,95.9,95.9,1,0
URT,D,20220103,000000,95.9,104.9,95.9,104.9,61,0
URT,D,20220104,000000,99.99,102,96,100,422,0
URT,D,20220105,000000,100.88,100.88,97,100,107,0
URT,D,20220110,000000,100,100,98,100,36,0
URT,D,20220111,000000,100,102.9,98,99,341,0
URT,D,20220112,000000,97.5,99.98,97.5,99.98,32,0
URT,D,20220113,000000,99.98,99.98,99.98,99.98,2,0
URT,D,20220114,000000,99.98,99.98,99.98,99.98,20,0
URT,D,20220117,000000,97.68,100,96.31,100,116,0
URT,D,20220118,000000,99,100,99,100,30,0
URT,D,20220119,000000,100,100,100,100,38,0
URT,D,20220120,000000,97.51,100,97.51,100,26,0
URT,D,20220121,000000,98,98,97.51,97.51,38,0
URT,D,20220124,000000,100.98,100.98,96,97,138,0
URT,D,20220125,000000,98.99,98.99,98.99,98.99,6,0
URT,D,20220126,000000,98.99,99,98.99,99,15,0
URT,D,20220127,000000,99,100,98,100,31,0
URT,D,20220128,000000,100,100,99,99,14,0
URT,D,20220131,000000,99,99.66,98,99.66,139,0
URT,D,20220201,000000,99,99,99,99,86,0
URT,D,20220202,000000,99,99,99,99,25,0
URT,D,20220204,000000,99,99,90,99,141,0
URT,D,20220208,000000,97,99,97,99,13,0
URT,D,20220209,000000,98,98,96,96,108,0
URT,D,20220210,000000,96,96,96,96,37,0
URT,D,20220211,000000,94,94,94,94,20,0
URT,D,20220214,000000,97,97,93,95,52,0
URT,D,20220215,000000,97,97,95,95,35,0
URT,D,20220216,000000,96,96,96,96,19,0
URT,D,20220217,000000,98,99,95,95,22,0
URT,D,20220218,000000,91.2,94,90,92,63,0
URT,D,20220221,000000,92,92,87.15,89,320,0
URT,D,20220222,000000,89,89,89,89,35,0
URT,D,20220224,000000,85,85,80,81,228,0
URT,D,20220225,000000,81,89,81,89,100,0
URT,D,20220228,000000,85,100,85,99.8,353,0
URT,D,20220301,000000,96,96,96,96,1,0
URT,D,20220302,000000,92,96,89,89,29,0
URT,D,20220303,000000,93,93,93,93,11,0
URT,D,20220304,000000,94.95,94.95,91,91,62,0
URT,D,20220307,000000,87,88,85,88,61,0
URT,D,20220308,000000,88,88,88,88,30,0
URT,D,20220309,000000,86,86,83,85,99,0
URT,D,20220310,000000,85,89,85,85,40,0
URT,D,20220311,000000,84,86,84,86,6,0
URT,D,20220314,000000,85,86,85,86,4,0
URT,D,20220315,000000,86,86,86,86,1,0
URT,D,20220316,000000,81,84.98,81,84,57,0
URT,D,20220317,000000,85,85,83,83,65,0
URT,D,20220318,000000,83,85,83,85,2,0
URT,D,20220321,000000,85,94.9,85,90.99,649,0
URT,D,20220322,000000,90.89,90.89,88,89,70,0
URT,D,20220323,000000,89,91,89,91,180,0
URT,D,20220324,000000,90.99,91,89,89,179,0
URT,D,20220325,000000,86,89,85,89,1115,0
URT,D,20220328,000000,84,84.99,83,83,216,0
URT,D,20220329,000000,83,98,83,94,1869,0
URT,D,20220330,000000,94,94,92,92,40,0
URT,D,20220331,000000,90,90,88,90,34,0
URT,D,20220401,000000,87,94,86.01,94,124,0
URT,D,20220404,000000,91,93,87,93,71,0
URT,D,20220406,000000,93.95,93.95,93.95,93.95,1,0
URT,D,20220407,000000,90,93.85,90,93.85,56,0
URT,D,20220408,000000,90,93.8,90,93.8,36,0
URT,D,20220411,000000,91.99,91.99,91.99,91.99,28,0
URT,D,20220412,000000,91.99,91.99,89.02,89.02,6,0
URT,D,20220413,000000,91,91,91,91,12,0
URT,D,20220414,000000,93.4,93.4,93.4,93.4,2,0
URT,D,20220419,000000,93.6,93.6,93.4,93.6,41,0
URT,D,20220420,000000,93.6,105,93.2,94,408,0
URT,D,20220421,000000,93,93,93,93,21,0
URT,D,20220422,000000,93,94,93,93,73,0
URT,D,20220427,000000,94,94,94,94,6,0
URT,D,20220428,000000,93,93,93,93,1,0
URT,D,20220504,000000,90.2,90.2,90,90,38,0
URT,D,20220509,000000,85,93.8,85,93.8,37,0
URT,D,20220510,000000,90,90,90,90,1,0
URT,D,20220511,000000,90,90,88,88,25,0
URT,D,20220513,000000,85,91.2,85,90,205,0
URT,D,20220516,000000,89,89,89,89,6,0
URT,D,20220517,000000,90,90,90,90,35,0
URT,D,20220518,000000,85.2,90,85.2,90,26,0
URT,D,20220519,000000,86.2,90,86.2,90,5,0
URT,D,20220520,000000,90,90,90,90,1,0
URT,D,20220523,000000,89,89,89,89,12,0
URT,D,20220524,000000,86,89.4,86,89.4,44,0
URT,D,20220526,000000,85,89.4,85,89.4,8,0
URT,D,20220527,000000,89,89,85.2,85.2,16,0
URT,D,20220530,000000,89.2,89.2,89.2,89.2,1,0
URT,D,20220531,000000,85.2,85.2,85,85,53,0
URT,D,20220601,000000,86,86,85.8,85.8,9,0
URT,D,20220602,000000,85.6,85.8,85.6,85.8,9,0
URT,D,20220603,000000,84.6,89.8,84,88,60,0
URT,D,20220607,000000,88,88,88,88,6,0
URT,D,20220609,000000,83.4,88,83.4,88,11,0
URT,D,20220614,000000,88,88,85,88,29,0
URT,D,20220615,000000,83,87.8,83,87.8,9,0
URT,D,20220617,000000,87.8,87.8,87.8,87.8,2,0
URT,D,20220620,000000,87.8,87.8,87.8,87.8,7,0
URT,D,20220622,000000,85,87.8,85,87.8,11,0
URT,D,20220623,000000,87.8,87.8,87.8,87.8,2,0
URT,D,20220624,000000,87.8,87.8,87.8,87.8,1,0
URT,D,20220628,000000,87.8,93.2,83,89.8,340,0
URT,D,20220629,000000,89.8,89.8,89.8,89.8,4,0
URT,D,20220630,000000,89.8,89.8,89.8,89.8,2,0
URT,D,20220704,000000,89,89,89,89,18,0
URT,D,20220706,000000,87,88.8,87,88.8,44,0
URT,D,20220707,000000,86,88,85,88,98,0
URT,D,20220708,000000,86,88,86,88,24,0
URT,D,20220711,000000,88,88,88,88,155,0
URT,D,20220712,000000,88,88,88,88,4,0
URT,D,20220714,000000,88,88,88,88,3,0
URT,D,20220720,000000,88,88,88,88,25,0
URT,D,20220725,000000,88,88,88,88,5,0
URT,D,20220728,000000,85,85,83,85,70,0
URT,D,20220801,000000,85,87.8,85,87.8,16,0
URT,D,20220803,000000,87,87,87,87,11,0
URT,D,20220805,000000,87,87,87,87,1,0
URT,D,20220811,000000,87,87,87,87,2,0
URT,D,20220812,000000,87,87,87,87,25,0
URT,D,20220818,000000,83,87,83,85,38,0
URT,D,20220823,000000,87,87,87,87,1,0
URT,D,20220824,000000,83,85,80,85,41,0
URT,D,20220825,000000,80,85,80,85,24,0
URT,D,20220830,000000,85,85,85,85,9,0
URT,D,20220831,000000,85,85,85,85,5,0
URT,D,20220905,000000,85,85,85,85,5,0
URT,D,20220906,000000,82,85,82,85,31,0
URT,D,20220907,000000,80.2,80.2,77,80,67,0
URT,D,20220909,000000,79.8,79.8,79.8,79.8,2,0
URT,D,20220913,000000,79.8,80,77,80,95,0
URT,D,20220914,000000,80,80,80,80,10,0
URT,D,20220915,000000,80,80,80,80,5,0
URT,D,20220916,000000,80,80,80,80,43,0
URT,D,20220920,000000,79,79,79,79,4,0
URT,D,20220926,000000,78,78,78,78,4,0
URT,D,20220928,000000,78,85.6,77.8,80,886,0
URT,D,20220929,000000,78,82.8,78,82.8,62,0
URT,D,20220930,000000,81.8,81.8,81.8,81.8,2,0
URT,D,20221003,000000,81.8,81.8,81.8,81.8,10,0
URT,D,20221004,000000,81.8,94.6,81.4,86.8,345,0
URT,D,20221005,000000,86.8,93.6,86,88,146,0
URT,D,20221006,000000,88,92.2,84,84,109,0
URT,D,20221007,000000,87,87,87,87,15,0
URT,D,20221010,000000,86,88,82,87,214,0
URT,D,20221014,000000,86,88,86,88,40,0
URT,D,20221020,000000,87.8,87.8,87.8,87.8,50,0
URT,D,20221024,000000,84,87,82,82,68,0
URT,D,20221025,000000,82,86,77,86,365,0
URT,D,20221027,000000,83,83,83,83,2,0
URT,D,20221102,000000,83,87.8,80,87.4,65,0
URT,D,20221103,000000,80,83,78,83,24,0
URT,D,20221104,000000,80,87.4,80,80,25,0
URT,D,20221107,000000,80.2,80.2,80,80,45,0
URT,D,20221108,000000,80,82.8,80,82.8,21,0
URT,D,20221109,000000,82,87.8,81,81,45,0
URT,D,20221110,000000,81,88,81,88,14,0
URT,D,20221115,000000,86,86,86,86,7,0
URT,D,20221116,000000,87,87,81,86.8,55,0
URT,D,20221117,000000,81,81,79,81,64,0
URT,D,20221118,000000,81,87,80,87,122,0
URT,D,20221121,000000,84,87,84,84,142,0
URT,D,20221122,000000,83,85,81,85,17,0
URT,D,20221123,000000,82,84.8,80,84.8,31,0
URT,D,20221124,000000,81,85.6,79,85.6,67,0
URT,D,20221214,000000,83,83,82,82,13,0
URT,D,20221215,000000,82.8,84.4,82.8,84.4,18,0
URT,D,20221221,000000,80,83.4,80,80,68,0
